,sch9/wt,ras2/wt,tor1/wt,centroid
0,-0.3306111,-0.591746,-0.4050345,1.0
1,0.04337617,-0.1137375,0.006602213,2.0
2,0.4574232,0.3051455,0.4256898,5.0
3,0.4046161,0.5262972,0.5405332,0.0
4,0.261135,0.6099756,0.4683093,5.0
5,0.2856357,0.7606662,0.4454354,0.0
6,0.2816513,0.3294875,0.3487153,5.0
7,-0.1904569,-0.1016729,-0.000173538,2.0
8,-0.2772261,-0.5650292,-0.4100454,1.0
9,0.3629012,2.289331,1.463729,4.0
10,0.2752761,0.004748148,0.2537479,5.0
11,0.4895598,0.6373698,0.4405245,0.0
12,0.3314654,-0.3319789,0.05383845,2.0
13,-0.2296202,-0.25955,-0.1683807,2.0
14,-0.1345241,-0.1092769,-0.006014937,2.0
15,-0.3032663,-0.729649,-0.4077454,1.0
16,-0.3959022,0.05881303,0.1854148,2.0
17,-0.3434564,-0.8205483,-0.6599139,1.0
18,-0.2464681,0.5944631,0.1259605,5.0
19,-0.1036328,0.315087,0.1071884,5.0
20,0.0563525,0.6758509,0.07726233,5.0
21,-0.4676769,-0.05137169,-0.1375965,2.0
22,-0.116985,-0.3583805,-0.09909835,2.0
23,-0.2854593,-0.2532024,-0.1552469,2.0
24,0.4710116,0.2056294,0.3532947,5.0
25,0.01898064,-0.1467794,0.3473019,2.0
26,0.2033803,0.6246355,0.5223685,5.0
27,-0.239956,-0.2530233,0.2624263,2.0
28,0.4115696,0.5637933,0.6906331,0.0
29,0.2934318,0.2034617,0.0604333,5.0
30,-0.02326524,-0.5640389,-0.1657049,1.0
31,-0.3035772,-0.3197214,0.05627243,2.0
32,0.30625,0.1957939,0.384324,5.0
33,-0.07936909,-0.5735262,0.119598,1.0
34,-0.2699403,-0.02400557,-0.1247221,2.0
35,0.01555266,0.5879797,-0.04701327,5.0
36,1.73322,2.937361,1.095829,4.0
37,1.202908,1.987284,0.823449,4.0
38,0.5479886,0.6973955,0.7509297,0.0
39,0.2986017,0.3323142,0.3057082,5.0
40,-0.1957694,0.2713003,-0.2726965,2.0
41,-0.04425742,-0.5050606,-0.3613015,1.0
42,0.2025044,0.3244661,0.2601463,5.0
43,0.2834825,0.5859703,-0.06182433,5.0
44,0.2693169,-0.2201528,0.5295265,5.0
45,-0.07890367,-0.0057031,0.07271396,2.0
46,-0.8987808,-0.9839112,-0.7730158,3.0
47,0.2129426,-0.03063174,0.02290206,2.0
48,0.0962767,0.04467786,-0.1750352,2.0
49,0.1062647,0.1998085,0.182447,5.0
50,0.4046607,0.4529553,0.1824128,5.0
51,0.4096914,0.1547899,0.1265628,5.0
52,-0.3212467,-0.1341973,-0.3653597,2.0
53,0.01730343,-0.3251145,0.3860063,2.0
54,-0.3093982,-0.9828453,-0.3683215,1.0
55,0.3135318,0.7300478,0.3465154,0.0
56,0.1792075,0.4611297,0.5070542,5.0
57,-0.3615628,-0.2018536,-0.2866783,1.0
58,0.1368966,0.1791603,0.02268152,5.0
59,0.1478735,0.3257182,-0.02448432,5.0
60,-0.08677335,0.474296,0.1042248,5.0
61,-0.2138284,1.052111,0.3248847,0.0
62,-0.1279343,0.09968682,-0.03509193,2.0
63,-0.1943685,-0.1566463,-0.150287,2.0
64,-0.4461807,-0.1629928,-0.4600532,1.0
65,-0.6079561,-0.4641998,-0.4185536,1.0
66,-0.2041933,1.521019,0.5804801,0.0
67,0.03219915,0.4661268,0.1737204,5.0
68,-0.3969555,0.2500766,0.3103923,2.0
69,-0.004772137,0.3688506,0.199006,5.0
70,-0.2923209,-0.0904122,-0.1713251,2.0
71,-0.07463264,-0.005272889,-0.147948,2.0
72,-0.6220847,-0.8557639,-0.555766,3.0
73,0.01630292,-0.501172,0.3310486,2.0
74,-1.370308,-0.9859324,-0.6930766,3.0
75,-0.5123691,-0.6682571,-0.5717717,1.0
76,-0.507132,-0.9840414,-0.4319503,3.0
77,0.2633153,-0.115271,0.7528612,5.0
78,-0.2154747,-0.07369933,0.1284762,2.0
79,-0.01695682,0.1482022,-0.06900086,2.0
80,-0.03812366,0.4380359,0.2873593,5.0
81,0.1509827,0.6902668,0.2512111,5.0
82,0.1536197,0.01115771,0.06756599,2.0
83,0.006894258,-0.03288617,0.02592515,2.0
84,0.02704025,0.2549493,-0.04622731,2.0
85,0.05818872,-0.0438543,0.03389733,2.0
86,0.1487839,0.2440458,0.09794402,5.0
87,0.08094512,-0.03587767,0.0303263,2.0
88,-0.04964793,-0.04792621,-0.0292396,2.0
89,0.08274725,0.04257803,0.03103441,2.0
90,0.06700605,1.032076,0.2451478,0.0
91,-0.2843394,-0.1871519,-0.2187281,2.0
92,0.2367592,0.1997311,0.2826611,5.0
93,-0.04614974,-1.005831,0.2178891,1.0
94,0.8062617,1.189747,0.898369,0.0
95,-0.3353268,-0.0902467,0.09813352,2.0
96,0.05475142,0.2745452,0.2422639,5.0
97,0.1270988,0.1930974,0.2553195,5.0
98,0.3185578,0.4891944,0.4335159,5.0
99,0.2740178,-0.02364838,0.2794472,5.0
100,-0.2449927,-1.024186,-0.3604881,1.0
101,-0.04437851,0.2739893,-0.0649683,2.0
102,-1.157471,-1.123579,-1.357626,3.0
103,0.4286113,-0.1610484,0.3475116,5.0
104,0.2078713,0.05945351,0.0582238,5.0
105,-0.3571059,-0.1329076,-0.4860161,1.0
106,0.000621491,-0.04259437,0.04167685,2.0
107,-0.3853162,-0.4776446,-0.3329169,1.0
108,-0.512832,-1.040842,-0.3977704,3.0
109,-0.4982938,-0.6630325,-0.555853,1.0
110,-0.2057318,0.1505645,-0.3317971,2.0
111,-0.1102396,-0.2349341,-0.2498942,2.0
112,-0.4608714,-0.4615097,-0.4747758,1.0
113,0.4838908,0.02914879,0.2425753,5.0
114,0.177009,-0.3625737,0.09133525,2.0
115,-0.4170044,-0.8943222,-0.4159986,1.0
116,0.3923809,0.2163057,0.4111487,5.0
117,-0.3423742,-0.03818775,-0.4013527,2.0
118,-0.8967975,-1.185589,-0.5052842,3.0
119,-0.1083253,-0.5100104,-0.3401938,1.0
120,-0.2256283,0.5083126,-0.1473621,5.0
121,-0.1971534,0.3575547,-0.03465392,2.0
122,0.03722158,-0.2883549,0.1482906,2.0
123,-0.301573,-0.5902251,-0.2581115,1.0
124,0.2492527,-0.2229908,0.2951675,2.0
125,-0.005009625,-0.3876271,0.1343263,2.0
126,0.2101076,0.07335678,0.3482588,5.0
127,0.3798742,0.812413,0.3580027,0.0
128,-0.1669739,-0.1195319,-0.2304135,2.0
129,-0.1129381,-0.2797944,-0.1037216,2.0
130,-0.3250814,-0.2942336,-0.3971356,1.0
131,-0.1419052,-0.8264818,-0.3843979,1.0
132,0.251554,0.4070418,0.3980339,5.0
133,0.1025727,0.4177826,0.2823235,5.0
134,-0.4883333,-0.7474444,-0.3125967,1.0
135,-0.7325052,-1.132082,-0.9830961,3.0
136,-0.6366348,-1.170286,-0.4994732,3.0
137,-0.04791026,0.763795,0.4669869,5.0
138,1.452884,1.582125,1.580435,4.0
139,0.04059367,0.3695664,0.2397348,5.0
140,-0.009900298,-0.4762045,0.153907,2.0
141,-0.4710413,0.05710191,0.3489819,2.0
142,-0.2732304,-0.4928824,-0.8297247,1.0
143,0.04971528,-0.004849363,0.1134816,2.0
144,-0.3681279,-0.4647677,-0.3936147,1.0
145,-0.4313795,-0.8802328,-0.4361853,1.0
146,0.03094034,0.08375566,0.1278975,2.0
147,0.1059704,0.4467793,0.06953096,5.0
148,-0.3088406,-0.8400346,-0.2146913,1.0
149,0.6561708,0.1085968,0.4074593,5.0
150,0.0814608,-0.2505726,-0.1557486,2.0
151,-0.0236108,-0.3238798,-0.4529998,1.0
152,-0.4826947,-0.3906443,-0.5343725,1.0
153,-0.2508895,0.1552367,-0.2818343,2.0
154,0.0480615,-0.1050666,0.1724459,2.0
155,-0.002863293,-0.4557685,0.1023941,2.0
156,-1.257368,-1.569517,-0.7856024,3.0
157,-0.8254275,-1.376631,-0.2924273,3.0
158,-0.2368998,-0.6602775,-0.351343,1.0
159,-0.8141142,-1.33416,-1.022767,3.0
160,-0.3712644,-0.4747028,-0.1259145,1.0
161,-0.07193061,-0.2660027,-0.2051221,2.0
162,-0.69083,-0.7734822,-0.9406756,3.0
163,0.2408523,-0.2970249,-0.02891511,2.0
164,-0.8257842,-0.620712,-0.6053101,3.0
165,0.5179111,1.528145,-0.1821582,0.0
166,0.009428879,0.376288,-0.08520637,5.0
167,0.02793485,-0.09801487,0.007423868,2.0
168,0.6291267,0.2412712,0.6452655,5.0
169,-0.3054715,-0.7913107,-0.2852986,1.0
170,1.042691,1.301535,0.9152016,0.0
171,-0.08817047,-1.043396,-0.5028945,1.0
172,-0.2200996,-0.3031956,-0.04616867,2.0
173,0.02058402,-0.3382007,-0.1855902,2.0
174,0.03528831,-0.4114912,-0.1748042,2.0
175,-0.5576669,0.4113801,-0.01497752,2.0
176,-0.2133049,1.203813,0.5063615,0.0
177,0.571488,-0.3220094,0.08618824,2.0
178,0.4223451,0.1203721,0.1565363,5.0
179,-0.4902853,-0.8463396,-0.044283,1.0
180,0.08714865,0.1018777,0.08168888,2.0
181,0.990429,0.9188415,0.9610829,0.0
182,-0.3466581,-0.01104893,-0.03795982,2.0
183,-0.7355409,-1.324693,-0.5035471,3.0
184,-0.4257036,-0.5868388,-0.1873131,1.0
185,-0.2341714,-0.0777259,-0.1974513,2.0
186,0.3600479,0.02547016,0.4209961,5.0
187,0.3091862,-0.4766454,0.1184909,2.0
188,-0.2672785,-0.004409342,-0.3464409,2.0
189,-0.05620288,-6.43e-05,-0.04774149,2.0
190,0.8948813,1.005487,0.6112071,0.0
191,-0.1016895,-0.1269841,-0.1922901,2.0
192,0.750319,0.5712375,0.5340886,0.0
193,-1.422701,-0.8846972,-0.9285802,3.0
194,-0.8681455,-0.6314309,-0.641112,3.0
195,0.1393025,0.05836311,0.09973272,2.0
196,0.2597699,0.2805819,0.03986881,5.0
197,-0.167815,-1.120896,-0.6222609,1.0
198,0.4896857,0.4000203,0.4736731,5.0
199,-0.0730336,0.02069346,-0.1656753,2.0
200,-0.12382,-0.2861559,0.1429418,2.0
201,-0.9267309,-1.325211,-0.6063035,3.0
202,0.1043186,0.5449957,0.4789608,5.0
203,-0.2157551,-0.6549044,-0.5175223,1.0
204,-0.1494245,-0.8919645,-0.3474858,1.0
205,-0.1228656,-0.3459086,-0.171288,2.0
206,-0.02213151,0.2905676,0.005331898,5.0
207,-0.2561941,-0.5892993,-0.3651473,1.0
208,-0.4987813,-0.06425822,-0.4951573,1.0
209,0.3878242,0.1999278,0.2326004,5.0
210,1.089518,0.4635474,0.6189132,0.0
211,0.2268743,0.6600868,0.01669528,5.0
212,-0.06811766,-0.3768173,-0.3237121,1.0
213,0.266819,1.010605,0.3961601,0.0
214,0.03391912,-0.3967088,-0.2208361,2.0
215,0.1065912,-0.4598791,0.03207499,2.0
216,0.04035881,0.17127,0.207385,5.0
217,-0.4748034,-0.153308,0.005649198,2.0
218,-0.1798309,-0.3346007,-0.0920972,2.0
219,-0.228474,0.1138792,-0.3357152,2.0
220,0.4120269,0.1688815,0.3297316,5.0
221,-0.144738,0.07579659,0.1074918,2.0
222,0.131916,1.055329,0.1503234,0.0
223,0.2922973,1.190231,1.481116,0.0
224,-0.7254565,0.1583846,-0.2978916,2.0
225,-0.01382424,1.26988,0.07051878,0.0
226,-0.01105177,-0.2062513,0.04008956,2.0
227,-0.1646415,-0.1368163,-0.3549437,2.0
228,-0.110448,-0.530284,0.09471748,1.0
229,0.9143136,1.184694,0.9991122,0.0
230,0.535882,0.4331854,0.6660366,0.0
231,0.1875793,-0.08737362,-0.1703603,2.0
232,-1.446224,-0.2072619,-0.5567256,3.0
233,-0.9697313,0.4127812,-0.290578,2.0
234,0.1610113,0.3327799,0.3106142,5.0
235,-0.3369481,-0.468924,-0.2777188,1.0
236,0.2504669,0.2460828,-0.5383,2.0
237,-0.1289255,-0.5880046,-0.1207498,1.0
238,0.0488696,0.06398865,0.01437481,2.0
239,-0.1759717,0.002302833,-0.06924693,2.0
240,0.115046,1.236711,0.6713789,0.0
241,-0.2889417,-0.4699012,-0.2980249,1.0
242,-0.1484671,-0.06454964,-0.01872565,2.0
243,0.4851251,1.025662,0.3622395,0.0
244,0.3349553,0.4486913,0.03813904,5.0
245,0.6508006,0.5529993,0.5439656,0.0
246,-0.652467,-0.7387125,-0.5580917,3.0
247,1.119856,-0.384276,0.06649858,5.0
248,1.419362,1.037257,0.9331819,4.0
249,1.931844,1.033439,1.36841,4.0
250,0.6720667,0.5397806,0.6400144,0.0
251,0.1938695,-0.4699659,-0.05827573,2.0
252,-0.5761691,-1.6755,-0.791193,3.0
253,-0.2487454,-0.5384443,0.006239091,1.0
254,-0.02003515,0.5178311,0.4009377,5.0
255,0.5552707,0.7484845,0.5264901,0.0
256,0.2000497,0.07049573,0.1629456,5.0
257,0.5676672,0.1380068,0.5303421,5.0
258,1.050427,0.379362,0.8150281,0.0
259,0.1743882,-0.3022656,-0.04729671,2.0
260,-0.004374098,-0.2202971,0.05407398,2.0
261,0.4608778,0.3203718,0.560857,5.0
262,0.4172355,-0.2193581,0.4464385,5.0
263,0.3938845,0.4424202,0.4240524,5.0
264,0.2068482,0.3325047,0.06902828,5.0
265,-0.4590194,-0.1492433,0.2850324,2.0
266,-0.1204778,-0.7023848,-0.461843,1.0
267,-0.1845473,-0.5654596,-0.4714339,1.0
268,-0.03420422,0.06351141,0.01085305,2.0
269,-0.1787583,0.6025493,0.1598978,5.0
270,0.4050637,-0.1763213,0.1626895,2.0
271,-0.1748045,-1.128498,-0.6414256,3.0
272,0.1829861,-0.06030527,0.1946505,2.0
273,2.109404,1.671661,1.686768,4.0
274,0.06553302,0.1363158,-0.0253413,2.0
275,0.2903984,0.1707051,0.3004736,5.0
276,0.0146207,-0.8090118,-0.1808859,1.0
277,0.2209408,0.3860589,-0.05709983,5.0
278,0.1352303,0.1787471,0.03128752,5.0
279,-0.3924768,-0.500219,-0.2421895,1.0
280,1.006602,0.4694132,0.906555,0.0
281,-0.1106879,-0.6519874,-0.3610907,1.0
282,0.3645197,0.3599955,0.2787433,5.0
283,0.05687591,-0.2610846,-0.05843036,2.0
284,-0.01318875,-0.0875221,0.04251834,2.0
285,0.006727541,-0.1563617,0.01925895,2.0
286,0.6278694,0.02989112,0.8588867,5.0
287,-0.1227035,0.2702438,0.15339,5.0
288,-0.2486441,-0.2861935,-0.333252,1.0
289,-0.5862907,-0.2040947,-0.0998803,1.0
290,1.114825,1.09101,0.9051243,0.0
291,0.03829893,0.04924949,0.3588069,5.0
292,0.3663295,0.4408217,0.5114296,5.0
293,-0.1961189,-0.2761043,-0.06617593,2.0
294,0.1120856,0.2602936,0.0947929,5.0
295,-1.032328,-1.138055,-1.147535,3.0
296,0.1133146,0.975164,0.6176006,0.0
297,-0.1419746,0.5604316,-0.05714832,5.0
298,0.5700581,0.2955484,0.405586,5.0
299,-0.3853226,-0.97919,-0.117153,1.0
